category,wd_dreambooth_train,wd_instantid_train,wd_gpt4o_train
keanu,0.02667255825104399,0.023597446580727894,0.02363166577803592
zendaya,0.024563659852858456,0.025235802733472416,0.031121477551226105
zayn,0.028534427800747966,0.024843395870578076,0.02811938657292298
emma,0.02920308306347579,0.024895703000947834,0.026007133163511754
bradd,0.03298938841617201,0.02189634738897439,0.0230357824038947
jaden,0.03063321750378236,0.031128423230256885,0.02901085786288604
denzel,0.026530977385118604,0.02600173482538334,0.02332274193343307
angelina,0.023292651763767935,0.03528873958566692,0.02246261936670635
robert,0.03266152039868757,0.030922188442976523,0.021022286246685933
meryl,0.027441007489826353,0.029863025228093778,0.026481403337259377
