category,sim_dreambooth_training,sim_instantid_training,sim_gpt_training
keanu,0.839934229850769,0.7722542881965637,0.8536575436592102
zendaya,0.9140260815620422,0.7660005688667297,0.6717828512191772
zayn,0.7891846299171448,0.8644658923149109,0.7134717702865601
emma,0.7435204386711121,0.726854145526886,0.8624175190925598
bradd,0.7769536972045898,0.7998576760292053,0.8262208700180054
jaden,0.741288959980011,0.6935890316963196,0.8185615539550781
denzel,0.7945195436477661,0.7637908458709717,0.8307619094848633
angelina,0.8370242714881897,0.7501817345619202,0.756796658039093
robert,0.7159931659698486,0.7993934154510498,0.8468965888023376
meryl,0.7180157899856567,0.7625986933708191,0.8246232867240906
