category,wd_dreambooth_training,wd_instantid_training,wd_gpt_training
keanu,0.04124661942478269,0.06454240262974054,0.06595424900297076
zendaya,0.026966344565153122,0.038814160507172346,0.04236123897135258
zayn,0.020752850687131286,0.03593637316953391,0.0342008292209357
emma,0.03741630888544023,0.061729634180665016,0.05934021598659456
bradd,0.026817867998033762,0.054187094792723656,0.0571541883982718
jaden,0.027975164353847504,0.03786308038979769,0.04468010272830725
denzel,0.025674315402284265,0.047565110959112644,0.040108179091475904
angelina,0.030097946524620056,0.052048032404854894,0.0461209905333817
robert,0.036279790569096804,0.0359559990465641,0.047924378886818886
meryl,0.018676428124308586,0.042417665012180805,0.040688841603696346
